random	noun/verb	location	#1 String	#2 String
picture	N	4-4	he described his mental picture of his assailant	he had no clear picture of himself or his world
right	N	6-4	The pharmacy is just on the right past the bookshop .	he stood on the right
see	V	2-1	Can you see the bird in that tree ?	I saw her bake the cake .
feel	V	1-1	I feel that we need to try harder .	I felt my way cautiously through the dangerous business maneuver .
fall	V	0-6	fall into a strange way of thinking	Her hand went up and then fell again
law	N	3-1	there is a law against kidnapping	By law , one is not allowed to own a wallaby in New York City .
know	V	1-1	We know this movie	I know him under a different name
opening	N	3-4	there is an opening in the sales department	He slipped through an opening in the crowd .
size	N	3-8	that 's the size of the situation	she hates me , that 's about the size of it
break	V	8-6	My daughter 's fancy wedding is going to break me !	This play will either make or break the playwright
throw	V	6-1	Throw a shoe ;     throw a javelin ;     the horse threw its rider	She threw herself forwards
cut	V	2-3	The sweat cut little rivulets into her face	she could not cut the long days in the office
drag	N	4-7	peeling potatoes is a drag	he went to the party dressed in drag
take	V	0-0	take a pulse	Take a swipe at one 's opponent
now	N	5-0	it worked up to right now	Now is a good time to do it
spring	N	6-8	You can visit me in the spring , when the weather is bearable .	the emerging buds were a sure sign of spring
ground	V	0-2	ground the electrical connections for safety reasons	the storm grounded the ship
club	V	1-3	To club exertions	The two men clubbed together
carry	V	4-1	This boat can only carry a small sail	Amanda carried the package to New York .
development	N	8-5	in chess your should take care of your development before moving your queen	after he saw the latest development he changed his mind and became a supporter
make	V	0-1	make laws	She made ten points in that game .
shell	V	0-0	shell mussels	shell the legumes
strike	V	0-3	strike ` z ' on the keyboard	The horse finally struck a pace
fall	V	0-3	fall into a trap	The barometer is falling
return	N	2-2	on his return from Australia we gave him a welcoming party	the average return was about 5 %
make	V	0-1	make a dress	To make like a deer caught in the headlights .
order	N	4-5	it was on the order of a mile	an explosion of a low order of magnitude
see	V	4-2	The minister does n't see anybody before noon	I must see your passport before you can enter the country
side	N	5-5	he is on the purchasing side of the business	it brought out his better side
line	N	4-4	he got out of line	there is a narrow line between sanity and insanity
civilization	N	7-7	the people slowly progressed from barbarism to civilization	he is remembered for his generosity and civilization
term	N	2-2	the general term of an algebraic equation of the n - th degree	the major term of a syllogism must occur twice
time	N	3-3	See you another time ;    that 's three times he 's made the same mistake	he called four times
demand	N	4-1	the automobile reduced the demand for buggywhips	his demands for attention were unceasing
carry	V	1-2	I carry her image in my mind 's eye	His voice carried a lot of anger
see	V	2-1	You should see a lawyer	he saw action in Viet Nam
seize	V	1-2	To seize a ship after libeling	The terrorists seized the politicians
air	N	1-5	an air of mystery	the house had a neglected air
strike	V	0-2	strike coins	The workers struck for a week before the new contract went through .
array	N	6-4	his tools were in an orderly array on the basement wall	it was a bewildering array of books
run	V	3-6	let the dogs run free	My computer is too old to run the new OS .
straighten	V	0-0	straighten hair	Straighten this post
change	N	1-5	the change was intended to increase sales	The product is undergoing a change in order to improve it .
break	V	0-2	break a fall	His ribs broke under the weight of the rocks piled on his chest .
krona	N	1-4	Papīra krona — paper krona ( i.e. , bills , banknotes )	Piecas kronas — five krona
home	N	7-0	he grew up in a good Christian home	home is where the heart is
spray	V	0-0	spray water on someone	spray paint on the wall
sum	N	4-1	he borrowed a large sum	The sum of forty pounds
cut	V	1-1	We cut through the neighbor 's yard to get home sooner	Wayne cut
foot	N	4-3	armored from head to foot	the swiftest of foot
make	V	0-1	make advances	She makes more than he does , and works longer hours than he does , but she still does most of the house - cleaning .
block	V	0-0	block a nerve	block a muscle
slit	V	0-1	slit the throat of the victim	He slit the bag open and the rice began pouring out .
carry	V	1-1	I carry a lot of life insurance	I carry her image in my mind 's eye
lady	N	11-1	a chauffeur opened the door of the limousine for the grand lady	A lady doctor .
draw	V	0-10	draw a card	At the start of their turn , each player must draw a card .
make	V	3-2	They hope to make a bigger profit	She 'll make a fine president .
fatigue	N	1-5	political fatigue	he was suffering from museum fatigue
head	N	6-4	A reduction in the assessment per head of sheep	he was at the head of the column
time	N	7-3	he was a great actor in his time	he had a time holding back the tears
turn	V	0-0	turn your dance partner around	turn your face to the wall
floor	N	1-7	the floor of the cave	Many sunken ships rest on the ocean floor .
demand	V	1-2	I demand an explanation	This position demands a lot of personal sacrifice
beat	V	2-1	The boat beat in the strong wind	I beat the traffic
book	N	4-1	Genesis is the first book of the Bible .	the book of Isaiah
personification	N	5-3	The Grim Reaper is a personification of death .	she is the personification of optimism
language	N	12-3	the speed with which a program can be executed depends on the language in which it is written	The gift of language
buy	V	5-1	I 'm not going to buy your stupid excuses anymore !	Carmen bought a dress for $ 50 .
moon	N	5-5	men first stepped on the moon in 1969	the average distance to the Moon is 384,400 kilometers
facility	N	5-5	he was famous for his facility as an archer	a cell phone with internet facility
use	V	6-0	He does n't know how to use a computer	use your head !
go	V	0-1	go about the world in a certain manner	She went through a lot of trouble
run	V	6-4	If you see this man , run !	The crowd had to run away from the burning structure with only the clothes on their backs .
sense	N	1-3	a sense of happiness	in the best sense charity is really a duty
skin	N	1-7	your skin is the largest organ of your body	He is so disgusting he makes my skin crawl .
process	N	3-1	events now in process	the process of thinking
line	N	2-5	A dedicated line	I ca n't follow your line of reasoning
run	V	2-2	These dresses run small	The children ran to the store
flare	N	5-3	infection can cause a lupus flare	he threw a flare to the fullback who was tackled for a loss
vote	N	5-11	they are expecting a large vote	The Supreme Court upheld the principle of one person , one vote .
patch	N	6-6	The world economy had a rough patch in the 1930s .	I lost my locket in this patch of grass here .
quality	N	11-0	This school is well - known for having teachers of high quality .	Quality of life is usually determined by health , education , and income .
execute	V	2-0	I 'll execute your orders as soon as this meeting is adjourned .	execute the decision of the people
wharf	V	0-0	wharf the passengers	Wharf the mouth of the river
head	N	1-1	a head of lettuce	a head of cauliflower
presentation	N	3-8	he prepared his presentation carefully in advance	Cesarean sections are sometimes the result of abnormal presentations
summer	V	3-1	We like to summer in the Mediterranean .	We summered in Kashmir
head	N	4-3	he was at the head of the column	She gave great head .
get	V	2-3	did you get it ?	What did you get at the toy store ?
get	V	2-4	did you get it ?	I just do n't get him
go	V	5-2	The washing machine wo n't go unless it 's plugged in	The policemen went from door to door looking for the suspect
extend	V	0-2	extend the loan	The war extended over five years
check	N	10-6	I was not carrying cash , so I wrote a check for the amount .	he paid all his bills by check
withholding	N	3-5	I resented his withholding permission	there were allegations of the withholding of evidence
